,ID energetske izkaznice,Datum izdelave,Velja do,Šifra KO,Številka stavbe,Številka dela stavbe,Tip izkaznice,Potrebna toplota za ogrevanje,Dovedena energija za delovanje stavbe,Celotna energija,Dovedena električna energija,Primarna energija,Emisije CO2,Kondicionirana površina stavbe,Energijski razred,EPBD 
49221,2023-807-276-109862,28.12.2023,28122033,1730,4178,0.0,merjena,,,141989.0,102931.0,156349.4,10198311.0,482.0,A1,PRODAJA
49222,2023-807-276-109861,28.12.2023,28122033,2144,384,0.0,merjena,,,84994.0,56645.0,116151.4,29461.0,387.0,A1,PRODAJA
49223,2023-807-276-109860,28.12.2023,28122033,1820,732,0.0,merjena,,,158463.0,158463.0,237694.5,66554.0,1319.0,A1,PRODAJA
49224,2023-807-276-109857,28.12.2023,28122033,1938,2622,0.0,merjena,,,139906.0,139906.0,209859.0,58761.0,567.0,A1,DRUGO
49225,2023-807-276-109855,28.12.2023,28122033,1992,696,0.0,merjena,,,43701.0,43701.0,65551.5,18354.0,714.0,A1,DRUGO
49226,2023-807-276-109854,28.12.2023,28122033,1696,1088,0.0,merjena,,,114155.0,66762.0,152275.3,37519.0,440.0,A1,DRUGO
49227,2023-807-276-109852,28.12.2023,28122033,2119,656,0.0,merjena,,,82971.0,45090.0,109304.1,26514.0,625.0,A1,PRODAJA
49228,2023-807-276-109853,28.12.2023,28122033,1698,423,0.0,merjena,,,147587.0,116024.0,208755.3,57883.0,508.0,A1,DRUGO
49229,2023-807-276-109850,28.12.2023,28122033,1838,1277,0.0,merjena,,,127246.0,127246.0,190869.0,53443.0,640.0,A1,DRUGO
49230,2023-807-276-109839,28.12.2023,28122033,1182,368,0.0,merjena,,,81646.0,81646.0,122469.0,34291.0,521.0,A1,PRODAJA
49298,2023-807-276-110113,29.12.2023,29122033,2392,1059,0.0,merjena,,,118106.0,118106.0,177159.0,49605.0,701.0,A1,PRODAJA
49299,2023-807-276-110112,29.12.2023,29122033,2306,744,0.0,merjena,,,83192.0,73472.0,120900.0,33677.0,109.0,A1,PRODAJA
49300,2023-807-276-110111,29.12.2023,29122033,2605,2118,0.0,merjena,,,153156.0,153156.0,229734.0,64326.0,471.0,A1,PRODAJA
49301,2023-807-276-110105,29.12.2023,29122033,157,1436,0.0,merjena,,,123096.0,123096.0,184644.0,51700.0,192.0,A1,PRODAJA
49302,2023-807-276-110106,29.12.2023,29122033,105,10428,0.0,merjena,,,61717.0,61717.0,92575.5,25921.0,290.0,A1,PRODAJA
49303,2023-807-276-110107,29.12.2023,29122033,2316,44,0.0,merjena,,,154611.0,154611.0,231916.5,64937.0,891.0,A1,PRODAJA
49304,2023-807-276-110108,29.12.2023,29122033,2606,6903,0.0,merjena,,,47315.0,47315.0,70972.5,19872.0,509.0,A1,PRODAJA
49305,2023-807-276-110109,29.12.2023,29122033,2023,658,0.0,merjena,,,82139.0,82139.0,123208.5,34498.0,275.0,A1,PRODAJA
49306,2023-807-276-110110,29.12.2023,29122033,2488,15,0.0,merjena,,,83761.0,83761.0,125641.5,35180.0,566.0,A1,PRODAJA
49406,2024-690-343-110175,05.01.2024,5012034,1577,4972,0.0,merjena,,,177016.0,86873.0,130309.5,36487.0,5200.0,A1,DRUGO
49669,2023-876-87-107209,28.08.2023,28082033,1738,1484,0.0,merjena,,,99973.0,99973.0,177964.29,41989.0,1817.0,A1,PISARNE
49673,2023-883-94-108452,21.10.2023,21102033,2490,2189,0.0,merjena,,,309149.55,93813.0,377589.71,101849.0,2533.0,A1,PRODAJA
49674,2023-883-94-108453,21.10.2023,21102033,964,4691,0.0,merjena,,,287516.0,137249.0,401220.6,96714.0,3050.0,A1,PRODAJA
49708,2024-860-2-110201,09.01.2024,9012034,1725,250,0.0,merjena,,,1290998.0,750398.0,1828377.0,455723.0,9319.0,A1,DRUGO
49710,2024-735-58-110242,11.01.2024,11012034,1722,1285,2.0,merjena,,,10787.0,2000.0,12665.7,2597.0,87.0,A1,PISARNE
49817,2023-866-17-107806,25.09.2023,25092033,2100,29,0.0,merjena,,,1170664.0,771585.0,1596364.4,403882.0,5262.0,A1,PISARNE
49818,2023-866-17-107809,25.09.2023,25092033,2175,674,0.0,merjena,,,138299.0,64266.0,192641.9,46240.0,1338.0,A1,PISARNE
49819,2023-866-17-107814,25.09.2023,25092033,2035,1307,0.0,merjena,,,133669.0,50498.0,167235.1,37843.0,1005.0,A1,PISARNE
49875,2023-649-400-106137,27.06.2023,27062033,332,875,0.0,merjena,,,667919.0,452141.0,947559.9,242653.0,1162.0,A1,PRODAJA
49887,2023-690-121-106745,01.08.2023,1082033,1476,120,0.0,merjena,,,524951.0,397182.0,736318.9,202834.0,2720.0,A1,DRUGO
49898,2023-876-87-108230,13.10.2023,13102033,1331,774,0.0,merjena,,,270781.0,270781.0,406171.5,113728.0,1177.0,A1,DRUGO
49905,2024-886-61-110253,11.01.2024,11012034,657,2170,0.0,merjena,,,503850.0,270070.0,709019.0,174212.0,4517.0,A1,DRUGO
49921,2024-866-17-110605,24.01.2024,24012034,2455,308,0.0,merjena,,,195230.0,35120.0,228801.0,49975.0,1632.0,A1,PISARNE
49980,2023-728-174-107679,19.09.2023,19092033,1730,1838,6.0,merjena,,,87463.0,32707.0,61654.38,13737.0,517.0,A1,DRUGO
50009,2025-913-244-120459,17.02.2025,17022035,2119,141,0.0,merjena,,,43289.02,16459.0,54201.52,14693.0,419.0,A1,PISARNE
50010,2025-913-244-120460,17.02.2025,17022035,2125,215,2.0,merjena,,,70906.08,10868.0,82343.89,21976.0,580.0,A1,DRUGO
50019,2023-865-386-108126,09.10.2023,9102033,2357,588,19.0,merjena,,,6262.0,2519.0,8644.4,2031.0,311.0,A1,PISARNE
50038,2024-893-58-109741,29.01.2024,29012034,1725,464,0.0,merjena,,,154943.0,45670.0,93637.79,19181.0,1793.0,A1,PISARNE
50052,2024-735-58-110771,31.01.2024,31012034,1724,459,0.0,merjena,,,120940.0,26020.0,58014.0,14725.0,450.0,A1,DRUGO
50081,2023-559-370-105708,07.06.2023,7062033,2223,436,0.0,merjena,,,172116.0,116955.0,268338.06,65118.0,1933.0,A1,IZOBRAZ
50082,2023-857-4-105715,07.06.2023,7062033,1115,2256,0.0,merjena,,,79468.0,79468.0,119202.0,33377.0,194.0,A1,PRODAJA
50177,2023-866-17-107006,18.08.2023,18082033,1737,136,0.0,merjena,,,621471.0,404853.0,888882.9,226359.0,1655.0,A1,PISARNE
50210,2023-864-370-109718,21.12.2023,21122033,2246,229,0.0,merjena,,,281185.0,94775.0,347213.5,93864.0,2954.0,A1,IZOBRAZ
50213,2023-864-370-109753,21.12.2023,21122033,2246,227,0.0,merjena,,,48164.0,16234.0,59474.0,16078.0,506.0,A1,IZOBRAZ
50234,2024-872-67-108082,02.02.2024,2022034,1725,430,9.0,merjena,,,320397.0,132397.0,442995.5,104487.0,4826.0,A1,PISARNE
50292,2023-866-17-108396,20.10.2023,20102033,2029,775,0.0,merjena,,,1201557.0,553723.0,1543201.9,362130.0,8836.0,A1,PISARNE
50295,2023-672-128-108350,24.10.2023,24102033,1973,641,0.0,merjena,,,6553140.0,5630710.0,9460738.0,2549384.0,9285.0,A1,DRUGO
50451,2024-861-9-110669,12.02.2024,12022034,850,2016,0.0,merjena,,,2139239.0,1373273.0,2902472.1,729968.0,5947.0,A1,PRODAJA
50464,2023-827-121-105162,17.05.2023,17052033,2144,486,0.0,merjena,,,1441038.0,489246.0,1780840.2,395842.0,4049.0,A1,DRUGO
50501,2023-857-4-106853,10.08.2023,10082033,2626,2018,0.0,merjena,,,58669.55,44534.0,82350.11,22804.0,110.0,A1,PRODAJA
50596,2023-857-4-105636,05.06.2023,5062033,105,10231,0.0,merjena,,,57554.0,43359.0,80653.0,21050.0,79.0,A1,PRODAJA
50597,2023-857-4-105638,05.06.2023,5062033,2560,946,0.0,merjena,,,68615.0,59030.0,99088.5,27572.0,74.0,A1,PRODAJA
50598,2023-857-4-105639,05.06.2023,5062033,2455,2836,0.0,merjena,,,112546.0,86633.0,158453.8,41568.0,167.0,A1,PRODAJA
50599,2023-857-4-105640,05.06.2023,5062033,105,10115,0.0,merjena,,,91493.0,91493.0,137239.5,38427.0,84.0,A1,PRODAJA
50600,2023-857-4-105642,05.06.2023,5062033,259,2210,0.0,merjena,,,89192.0,89192.0,133788.0,37461.0,166.0,A1,PRODAJA
50630,2024-874-61-110850,13.02.2024,13022034,716,420,0.0,merjena,,,790857.0,160067.0,933969.5,206002.0,5020.0,A1,IZOBRAZ
50634,2024-874-61-110849,13.02.2024,13022034,717,353,0.0,merjena,,,395449.0,91886.0,471748.3,126625.0,2543.0,A1,IZOBRAZ
50652,2024-860-2-111165,15.02.2024,15022034,105,105,1.0,merjena,,,64452.0,31310.0,83421.2,19779.0,424.0,A1,PISARNE
50682,2023-808-65-106498,23.08.2023,23082033,2605,1337,0.0,merjena,,,413607.0,244727.0,507571.5,90261.0,3054.0,A1,PISARNE
50727,2023-864-370-107224,28.09.2023,28092033,2010,110,0.0,merjena,,,48400.0,5180.0,55312.0,14709.0,190.0,A1,IZOBRAZ
50728,2023-864-370-107228,28.09.2023,28092033,2008,596,0.0,merjena,,,213683.0,46193.0,253528.5,67973.0,2025.0,A1,IZOBRAZ
50811,2023-864-370-107204,28.09.2023,28092033,2007,284,0.0,merjena,,,92338.0,8478.0,104963.0,27880.0,684.0,A1,IZOBRAZ
